Total nodes: 10318

First 200 node entries (instance, nodeLabel, x,y,z):
0: ASSEMBLY, 1, (-100.000000, 3125.000000, 1300.000000)
1: DILIANG-1, 1, (150.000000, -500.004883, 2000.000000)
2: DILIANG-1, 2, (150.000000, -450.004883, 2000.000000)
3: DILIANG-1, 3, (150.000000, -400.004883, 2000.000000)
4: DILIANG-1, 4, (150.000000, -350.004883, 2000.000000)
5: DILIANG-1, 5, (150.000000, -300.004883, 2000.000000)
6: DILIANG-1, 6, (150.000000, -250.004883, 2000.000000)
7: DILIANG-1, 7, (150.000000, -200.004883, 2000.000000)
8: DILIANG-1, 8, (150.000000, -150.004883, 2000.000000)
9: DILIANG-1, 9, (150.000000, -100.004875, 2000.000000)
10: DILIANG-1, 10, (150.000000, -50.004879, 2000.000000)
11: DILIANG-1, 11, (150.000000, -0.004878, 2000.000000)
12: DILIANG-1, 12, (100.000000, -500.004883, 2000.000000)
13: DILIANG-1, 13, (100.000000, -450.004883, 2000.000000)
14: DILIANG-1, 14, (100.000000, -400.004883, 2000.000000)
15: DILIANG-1, 15, (100.000000, -350.004883, 2000.000000)
16: DILIANG-1, 16, (100.000000, -300.004883, 2000.000000)
17: DILIANG-1, 17, (100.000000, -250.004883, 2000.000000)
18: DILIANG-1, 18, (100.000000, -200.004883, 2000.000000)
19: DILIANG-1, 19, (100.000000, -150.004883, 2000.000000)
20: DILIANG-1, 20, (100.000000, -100.004875, 2000.000000)
21: DILIANG-1, 21, (100.000000, -50.004879, 2000.000000)
22: DILIANG-1, 22, (100.000000, -0.004878, 2000.000000)
23: DILIANG-1, 23, (50.000000, -500.004883, 2000.000000)
24: DILIANG-1, 24, (50.000000, -450.004883, 2000.000000)
25: DILIANG-1, 25, (50.000000, -400.004883, 2000.000000)
26: DILIANG-1, 26, (50.000000, -350.004883, 2000.000000)
27: DILIANG-1, 27, (50.000000, -300.004883, 2000.000000)
28: DILIANG-1, 28, (50.000000, -250.004883, 2000.000000)
29: DILIANG-1, 29, (50.000000, -200.004883, 2000.000000)
30: DILIANG-1, 30, (50.000000, -150.004883, 2000.000000)
31: DILIANG-1, 31, (50.000000, -100.004875, 2000.000000)
32: DILIANG-1, 32, (50.000000, -50.004879, 2000.000000)
33: DILIANG-1, 33, (50.000000, -0.004878, 2000.000000)
34: DILIANG-1, 34, (0.000000, -500.004883, 2000.000000)
35: DILIANG-1, 35, (0.000000, -450.004883, 2000.000000)
36: DILIANG-1, 36, (0.000000, -400.004883, 2000.000000)
37: DILIANG-1, 37, (0.000000, -350.004883, 2000.000000)
38: DILIANG-1, 38, (0.000000, -300.004883, 2000.000000)
39: DILIANG-1, 39, (0.000000, -250.004883, 2000.000000)
40: DILIANG-1, 40, (0.000000, -200.004883, 2000.000000)
41: DILIANG-1, 41, (0.000000, -150.004883, 2000.000000)
42: DILIANG-1, 42, (0.000000, -100.004875, 2000.000000)
43: DILIANG-1, 43, (0.000000, -50.004879, 2000.000000)
44: DILIANG-1, 44, (0.000000, -0.004878, 2000.000000)
45: DILIANG-1, 45, (-50.000000, -500.004883, 2000.000000)
46: DILIANG-1, 46, (-50.000000, -450.004883, 2000.000000)
47: DILIANG-1, 47, (-50.000000, -400.004883, 2000.000000)
48: DILIANG-1, 48, (-50.000000, -350.004883, 2000.000000)
49: DILIANG-1, 49, (-50.000000, -300.004883, 2000.000000)
50: DILIANG-1, 50, (-50.000000, -250.004883, 2000.000000)
51: DILIANG-1, 51, (-50.000000, -200.004883, 2000.000000)
52: DILIANG-1, 52, (-50.000000, -150.004883, 2000.000000)
53: DILIANG-1, 53, (-50.000000, -100.004875, 2000.000000)
54: DILIANG-1, 54, (-50.000000, -50.004879, 2000.000000)
55: DILIANG-1, 55, (-50.000000, -0.004878, 2000.000000)
56: DILIANG-1, 56, (-100.000000, -500.004883, 2000.000000)
57: DILIANG-1, 57, (-100.000000, -450.004883, 2000.000000)
58: DILIANG-1, 58, (-100.000000, -400.004883, 2000.000000)
59: DILIANG-1, 59, (-100.000000, -350.004883, 2000.000000)
60: DILIANG-1, 60, (-100.000000, -300.004883, 2000.000000)
61: DILIANG-1, 61, (-100.000000, -250.004883, 2000.000000)
62: DILIANG-1, 62, (-100.000000, -200.004883, 2000.000000)
63: DILIANG-1, 63, (-100.000000, -150.004883, 2000.000000)
64: DILIANG-1, 64, (-100.000000, -100.004875, 2000.000000)
65: DILIANG-1, 65, (-100.000000, -50.004879, 2000.000000)
66: DILIANG-1, 66, (-100.000000, -0.004878, 2000.000000)
67: DILIANG-1, 67, (-150.000000, -500.004883, 2000.000000)
